	,	,	,	,Quantidades,	,	,  	,	,	,Tamanhos,	,	,  	,	,Tempo (ms),	,	,	,	
Tela, Nome do Arquivo,img,css,js,html,outros,total,img,css,js,html,outros,total,Blocking,Waiting,Receiving,Total,Page load, On Content Load
 Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+08-53-00.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,145402,16236,8614,170252,8961,7025
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+08-54-53.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,67446,13578,8930,89954,7293,2256
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+08-59-37.har,45,9,12,1,1,68,4808,38984,138069,44874,22748,249483,93592,26654,15294,135540,20849,14861
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-01-40.har,45,9,12,1,1,68,4808,38984,138069,44874,22748,249483,51642,13015,7867,72524,8792,3902
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-05-05.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,227300,47808,22268,297376,17923,8701
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-09-02.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,53558,13988,7952,75498,8615,3038
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-10-55.har,45,9,12,1,1,68,4808,38984,138069,44874,22748,249483,108734,25891,14569,149194,10800,3399
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-12-53.har,45,9,12,1,1,68,4810,38984,138069,44874,22748,249485,136976,11841,10000,158817,10716,6869
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-14-49.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,46955,9900,6744,63599,5566,2205
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-16-50.har,45,9,12,1,1,68,4810,38984,138069,44874,22748,249485,51710,8733,7533,67976,6429,2213
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-18-56.har,45,9,12,1,1,68,4810,38984,138069,44874,22748,249485,162115,33790,18021,213926,13469,5443
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-20-50.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,59276,11418,6712,77406,5905,2167
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-22-48.har,45,9,12,1,1,68,4806,38984,138069,44874,22748,249481,51569,9531,7098,68198,6031,2139
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-24-48.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,44600,8387,7115,60102,6145,2083
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-26-51.har,46,9,12,1,1,69,5451,38984,138069,44874,22748,250126,76143,9615,8541,94299,6929,2987
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-28-49.har,45,9,12,1,1,68,4808,38984,138069,44874,22748,249483,63651,9263,6972,79886,5708,2086
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-30-48.har,45,9,12,1,1,68,4810,38984,138069,44874,22748,249485,58084,10854,7302,76240,5715,2119
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-32-49.har,45,9,12,1,1,68,4810,38984,138069,44874,22748,249485,47569,9075,6959,63603,6036,2102
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-34-50.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,85215,16563,6318,108096,6762,2641
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-36-48.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,87454,16918,8358,112730,6629,2178
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-38-51.har,45,9,12,1,1,68,4808,38984,138069,44874,22748,249483,75791,12932,7771,96494,7191,3258
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-40-48.har,45,9,12,1,1,68,4811,38984,138069,44874,22748,249486,69076,11522,6646,87244,6140,2556
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-42-53.har,45,9,12,1,1,68,4811,38984,138069,44874,22748,249486,128476,14834,7692,151002,8483,4409
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-45-04.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,404900,27829,10171,442900,20525,16247
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-47-14.har,45,9,12,1,1,68,4804,38984,138069,44874,22748,249479,350000,30047,49027,429074,32685,5717
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-48-56.har,45,9,12,1,1,68,4806,38984,138069,44874,22748,249481,145238,23921,9994,179153,11879,5892
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-50-52.har,45,9,12,1,1,68,4810,38984,138069,44874,22748,249485,69001,11815,7645,88461,7022,2470
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-52-48.har,45,9,12,1,1,68,4808,38984,138069,44874,22748,249483,59057,11870,6556,77483,5770,2229
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-54-57.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,197824,24457,17145,239426,14471,6624
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-56-49.har,45,9,12,1,1,68,4808,38984,138069,44874,22748,249483,63604,10801,7437,81842,6448,2300
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+09-58-51.har,45,9,12,1,1,68,4806,38984,138069,44874,22748,249481,84351,16915,9655,110921,9326,3203
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-00-49.har,45,9,12,1,1,68,4810,38984,138069,44874,22748,249485,69452,12084,6774,88310,6338,2500
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-02-55.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,90576,19149,14356,124081,11946,3018
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-04-49.har,45,9,12,1,1,68,4806,38984,138069,44874,22748,249481,78348,12269,7158,97775,6851,3001
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-06-53.har,45,9,12,1,1,68,4810,38984,138069,44874,22748,249485,123975,17215,10182,151372,9290,5635
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-08-52.har,45,9,12,1,1,68,4807,38984,138069,44874,22748,249482,81731,15226,6803,103760,9501,5635
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-10-51.har,45,9,12,1,1,68,4808,38984,138069,44874,22748,249483,62557,11358,7749,81664,7448,2398
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-12-50.har,45,9,12,1,1,68,4808,38984,138069,44874,22748,249483,56729,13453,6569,76751,7217,2309
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-14-48.har,45,9,12,1,1,68,4808,38984,138069,44874,22748,249483,51619,9017,7254,67890,5836,2537
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-16-51.har,45,9,12,1,1,68,4810,38984,138069,44874,22748,249485,97572,10491,6930,114993,6732,2881
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-18-50.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,114805,21340,6927,143072,7320,3647
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-20-51.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,65735,15764,6848,88347,7831,2368
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-22-49.har,45,9,12,1,1,68,4808,38984,138069,44874,22748,249483,85443,10299,6987,102729,5843,2135
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-25-34.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,238152,72215,58326,368693,50754,13705
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-27-03.har,45,9,12,1,1,68,4810,38984,138069,44874,22748,249485,330501,52622,33997,417120,18883,9784
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-28-50.har,45,9,12,1,1,68,4810,38984,138069,44874,22748,249485,69700,13386,7488,90574,6652,2788
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-30-59.har,45,9,12,1,1,68,4808,38984,138069,44874,22748,249483,57096,11619,18584,87299,17254,2152
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-33-00.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,240515,46064,22624,309203,16369,6497
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-34-52.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,86519,24745,13984,125248,10015,2272
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-36-52.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,95876,11997,9868,117741,7907,2878
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-38-55.har,45,9,12,1,1,68,4810,38984,138069,44874,31460,258197,188261,15537,9576,213374,10729,2858
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-40-50.har,45,9,12,1,1,68,4808,38984,138069,44874,22748,249483,63271,12760,6730,82761,6532,2631
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-42-49.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,54029,9730,7524,71283,6256,2105
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-45-04.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,336416,44842,23811,405069,19596,13253
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-46-53.har,45,9,12,1,1,68,4810,38984,138069,44874,22748,249485,151627,20474,9016,181117,10047,5698
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-48-49.har,45,9,12,1,1,68,4808,38984,138069,44874,22748,249483,91651,11465,6971,110087,6758,2764
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-51-04.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,115425,25600,25102,166127,21602,3876
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-52-50.har,45,9,12,1,1,68,4807,38984,138069,44874,22748,249482,58644,13222,7783,79649,6919,3503
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo4\www.ufop.br+2015-05-05+10-54-49.har,45,9,12,1,1,68,4809,38984,138069,44874,22748,249484,64460,14963,6931,86354,5776,2067
