	,	,	,	,Quantidades,	,	,  	,	,	,Tamanhos,	,	,  	,	,Tempo (ms),	,	,	,	
Tela, Nome do Arquivo,img,css,js,html,outros,total,img,css,js,html,outros,total,Blocking,Waiting,Receiving,Total,Page load, On Content Load
 Home,D:\monofinal\src\harRepository\testeHomeUfopNovo3\www.ufop.br+2015-05-04+08-29-22.har,45,9,12,1,1,68,4811,38984,138069,44873,22748,249485,378645,12923,7090,398658,14757,11674
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo3\www.ufop.br+2015-05-04+08-30-47.har,45,9,12,1,1,68,4809,38984,138069,44873,22748,249483,55174,13027,6740,74941,5418,2073
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo3\www.ufop.br+2015-05-04+08-32-46.har,45,9,12,1,1,68,4807,38984,138069,44873,22748,249481,58830,12509,6819,78158,5554,2203
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo3\www.ufop.br+2015-05-04+08-34-47.har,45,9,12,1,1,68,4811,38984,138069,44873,22748,249485,57729,9166,7238,74133,6303,2301
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo3\www.ufop.br+2015-05-04+08-36-46.har,45,9,12,1,1,68,4809,38984,138069,44873,22748,249483,49619,9860,6336,65815,5385,2022
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo3\www.ufop.br+2015-05-04+08-38-46.har,45,9,12,1,1,68,4810,38984,138069,44873,22748,249484,55099,10282,7037,72418,5449,2116
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo3\www.ufop.br+2015-05-04+08-40-45.har,45,9,12,1,1,68,4810,38984,138069,44873,22748,249484,58164,12188,7005,77357,5480,2134
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo3\www.ufop.br+2015-05-04+08-42-45.har,45,9,12,1,1,68,4810,38984,138069,44873,22748,249484,56936,11420,6921,75277,5469,2113
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo3\www.ufop.br+2015-05-04+08-44-46.har,45,9,12,1,1,68,4810,38984,138069,44873,22748,249484,68181,13055,7642,88878,6378,2543
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo3\www.ufop.br+2015-05-04+08-46-46.har,45,9,12,1,1,68,4808,38984,138069,44873,22748,249482,62728,13006,6733,82467,5567,2168
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo3\www.ufop.br+2015-05-04+08-48-45.har,45,9,12,1,1,68,4809,38984,138069,44873,22748,249483,67241,11873,8220,87334,5452,1909
