	,	,	,	,Quantidades,	,	,  	,	,	,Tamanhos,	,	,  	,	,Tempo (ms),	,	,	,	
Tela, Nome do Arquivo,img,css,js,html,outros,total,img,css,js,html,outros,total,Blocking,Waiting,Receiving,Total,Page load, On Content Load
 Home,D:\monofinal\src\harRepository\testeHomeUf\www.ufop.br+2015-04-28+11-32-44.har,45,9,12,0,1,67,4818,38984,138069,0,22748,204619,73499,11208,6954,91661,5138,1616
Home,D:\monofinal\src\harRepository\testeHomeUf\www.ufop.br+2015-04-28+11-34-45.har,45,9,12,0,1,67,4817,38984,138069,0,22748,204618,128705,12961,7385,149051,8447,4942
Home,D:\monofinal\src\harRepository\testeHomeUf\www.ufop.br+2015-04-28+11-36-42.har,45,9,12,0,1,67,4819,38984,138069,0,22748,204620,67062,10343,6604,84009,5182,1921
Home,D:\monofinal\src\harRepository\testeHomeUf\www.ufop.br+2015-04-28+11-38-42.har,45,9,12,0,1,67,4817,38984,138069,0,22748,204618,59611,9211,6652,75474,5490,1850
Home,D:\monofinal\src\harRepository\testeHomeUf\www.ufop.br+2015-04-28+11-40-46.har,45,9,12,0,1,67,4816,38984,138069,0,22748,204617,126579,12217,6321,145117,8407,4988
Home,D:\monofinal\src\harRepository\testeHomeUf\www.ufop.br+2015-04-28+11-42-41.har,45,9,12,0,1,67,4817,38984,138069,0,22748,204618,62356,9748,6419,78523,5012,1738
Home,D:\monofinal\src\harRepository\testeHomeUf\www.ufop.br+2015-04-28+11-44-43.har,45,9,12,0,1,67,4815,38984,138069,0,22748,204616,56642,9108,6165,71915,4966,1662
Home,D:\monofinal\src\harRepository\testeHomeUf\www.ufop.br+2015-04-28+11-46-41.har,45,9,12,0,1,67,4817,38984,138069,0,22748,204618,60803,10484,6600,77887,4967,1758
Home,D:\monofinal\src\harRepository\testeHomeUf\www.ufop.br+2015-04-28+11-48-41.har,45,9,12,0,1,67,4816,38984,138069,0,22748,204617,63061,11330,6895,81286,5258,1688
Home,D:\monofinal\src\harRepository\testeHomeUf\www.ufop.br+2015-04-28+11-50-42.har,45,9,12,0,1,67,4818,38984,138069,0,22748,204619,63067,11709,6435,81211,4901,1651
Home,D:\monofinal\src\harRepository\testeHomeUf\www.ufop.br+2015-04-28+11-52-42.har,45,9,12,0,1,67,4816,38984,138069,0,22748,204617,55018,8602,6895,70515,5593,1629
Home,D:\monofinal\src\harRepository\testeHomeUf\www.ufop.br+2015-04-28+11-54-42.har,45,9,12,0,1,67,4816,38984,138069,0,22748,204617,55165,9346,6136,70647,4922,1655
Home,D:\monofinal\src\harRepository\testeHomeUf\www.ufop.br+2015-04-28+11-56-42.har,45,9,12,0,1,67,4817,38984,138069,0,22748,204618,64439,10320,7328,82087,4930,1652
Home,D:\monofinal\src\harRepository\testeHomeUf\www.ufop.br+2015-04-28+11-58-41.har,45,9,12,0,1,67,4818,38984,138069,0,22748,204619,72908,12003,6684,91595,5009,1624
Home,D:\monofinal\src\harRepository\testeHomeUf\www.ufop.br+2015-04-28+12-00-44.har,45,9,12,0,1,67,4818,38984,138069,0,22748,204619,60548,9848,7107,77503,5523,1662
Home,D:\monofinal\src\harRepository\testeHomeUf\www.ufop.br+2015-04-28+12-02-41.har,45,9,12,0,1,67,4816,38984,138069,0,22748,204617,56452,9008,6304,71764,4932,1654
Home,D:\monofinal\src\harRepository\testeHomeUf\www.ufop.br+2015-04-28+12-04-42.har,45,9,12,0,1,67,4815,38984,138069,0,22748,204616,61309,11239,6320,78868,4900,1641
Home,D:\monofinal\src\harRepository\testeHomeUf\www.ufop.br+2015-04-28+12-06-42.har,45,9,12,0,1,67,4818,38984,138069,0,22748,204619,55327,9085,5895,70307,4888,1617
Home,D:\monofinal\src\harRepository\testeHomeUf\www.ufop.br+2015-04-28+12-08-43.har,45,9,12,0,1,67,4817,38984,138069,0,22748,204618,62570,9978,7111,79659,5077,1817
