	,	,	,	,Quantidades,	,	,  	,	,	,Tamanhos,	,	,  	,	,Tempo (ms),	,	,	,	
Tela, Nome do Arquivo,img,css,js,html,outros,total,img,css,js,html,outros,total,Blocking,Waiting,Receiving,Total,Page load, On Content Load
 Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-23+22-43-51.har,45,9,12,1,1,68,889360,38984,138069,44914,21459,1132786,56288,9751,7487,73526,5359,3294
Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-23+22-49-47.har,45,9,12,1,1,68,893954,38984,138069,44914,21459,1137380,64323,9817,7848,81988,5704,2563
Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-23+22-55-52.har,45,9,12,1,1,68,891373,38984,138069,44914,21459,1134799,237903,9234,12791,259928,11578,8410
Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-23+23-02-01.har,45,9,12,1,1,68,888685,38984,138069,44914,21459,1132111,225960,18176,17899,262035,21377,8801
Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-23+23-07-48.har,45,9,12,1,1,68,896483,38984,138069,44914,21459,1139909,69114,11082,8161,88357,7508,2767
Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-23+23-19-47.har,45,9,12,1,1,68,891373,38984,138069,44914,21459,1134799,71399,9828,6851,88078,5457,2314
Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-23+23-25-46.har,45,9,12,1,1,68,889360,38984,138069,44914,21459,1132786,67363,9697,7195,84255,5448,2524
Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-23+23-31-46.har,45,9,12,1,1,68,885460,38984,138069,44914,21459,1128886,60437,9593,7036,77066,5490,2658
Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-23+23-37-46.har,45,9,12,1,1,68,891373,38984,138069,44914,21459,1134799,64897,9548,7099,81544,5451,2527
Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-23+23-43-45.har,45,9,12,1,1,68,891373,38984,138069,44914,21459,1134799,60349,9590,7007,76946,5573,2508
Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-23+23-49-46.har,45,9,12,1,1,68,891060,38984,138069,44914,21459,1134486,60428,8220,6990,75638,5587,2446
Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-23+23-55-46.har,45,9,12,1,1,68,888685,38984,138069,44914,21459,1132111,66496,10161,6813,83470,5502,2658
Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-24+00-01-46.har,45,9,12,1,1,68,889360,38984,138069,44914,21459,1132786,64730,9351,7364,81445,5470,2549
Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-24+00-07-46.har,45,9,12,1,1,68,889360,38984,138069,44914,21459,1132786,65210,9787,7210,82207,5473,2456
Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-24+00-13-51.har,45,9,12,1,1,68,888685,38984,138069,44914,21459,1132111,78048,15088,14302,107438,11073,2533
Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-24+00-19-55.har,45,9,12,1,1,68,888685,38984,138069,44914,21459,1132111,109957,13293,16426,139676,14929,3943
Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-24+00-25-45.har,45,9,12,1,1,68,888685,38984,138069,44914,21459,1132111,74573,10512,6570,91655,5525,2296
Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-24+00-31-46.har,45,9,12,1,1,68,891373,38984,138069,44914,21459,1134799,75075,10525,6940,92540,5569,2392
Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-24+00-37-45.har,45,9,12,1,1,68,888170,38984,138069,44914,21459,1131596,71732,10906,6679,89317,5565,2419
Home,D:\Monografia\src\harRepository\testeHomeUfop\www.ufop.br+2015-04-24+00-43-46.har,45,9,12,1,1,68,896483,38984,138069,44914,21459,1139909,65743,10893,7192,83828,5667,3019
