	,	,	,	,Quantidades,	,	,  	,	,	,Tamanhos,	,	,  	,	,Tempo (ms),	,	,	,	
Tela, Nome do Arquivo,img,css,js,html,outros,total,img,css,js,html,outros,total,Blocking,Waiting,Receiving,Total,Page load, On Content Load
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-05-55.har,1,0,1,1,0,3,35,0,41,4661,0,4737,187,3482,15,3684,6804,6569
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-13-01.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,2295,2104,593,4992,5552,4721
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-13-18.har,1,0,1,1,0,3,35,0,41,8856,0,8932,187,483,0,670,3839,3542
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-13-32.har,1,0,1,1,0,3,35,0,41,7496,0,7572,172,484,0,656,3701,3437
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-13-56.har,1,0,1,1,0,3,35,0,41,4661,0,4737,187,3495,16,3698,6786,6560
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-21-01.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1762,1433,500,3695,4949,4075
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-21-17.har,1,0,1,1,0,3,35,0,41,8856,0,8932,187,453,0,640,3831,3562
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-21-32.har,1,0,1,1,0,3,35,0,41,7496,0,7572,172,452,16,640,3872,3625
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-21-55.har,1,0,1,1,0,3,35,0,41,4661,0,4737,172,3450,0,3622,6745,6522
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-29-00.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1743,1950,562,4255,4742,4010
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-29-16.har,1,0,1,1,0,3,35,0,41,8856,0,8932,187,484,0,671,3838,3564
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-29-31.har,1,0,1,1,0,3,35,0,41,7496,0,7572,218,515,0,733,3796,3531
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-29-54.har,1,0,1,1,0,3,35,0,41,4661,0,4737,218,3465,0,3683,6761,6509
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-37-01.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1765,2232,545,4542,4963,4130
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-37-17.har,1,0,1,1,0,3,35,0,41,8856,0,8932,156,468,0,624,3803,3533
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-37-32.har,1,0,1,1,0,3,35,0,41,7496,0,7572,171,469,0,640,3732,3446
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-37-55.har,1,0,1,1,0,3,35,0,41,4661,0,4737,218,3510,0,3728,6834,6612
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-45-00.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1729,2139,779,4647,4817,4164
Choose City,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-45-17.har,1,0,1,1,0,3,35,0,41,8856,0,8932,187,483,0,670,3829,3527
Form,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-45-31.har,1,0,1,1,0,3,35,0,41,7496,0,7572,171,438,15,624,3740,3483
Confirm,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-45-55.har,1,0,1,1,0,3,35,0,41,4661,0,4737,203,3494,16,3713,6935,6696
Search,D:\Monografia\src\harRepository\testeBlaze\blazedemo.com+2015-04-23+04-53-01.har,1,3,7,1,0,12,35,130353,224371,6083,0,360842,1685,2231,765,4681,4852,4071
