	,	,	,	,Quantidades,	,	,  	,	,	,Tamanhos,	,	,  	,	,Tempo (ms),	,	,	,	
Tela, Nome do Arquivo,img,css,js,html,outros,total,img,css,js,html,outros,total,Blocking,Waiting,Receiving,Total,Page load, On Content Load
 Home,D:\monofinal\src\harRepository\testeHomeUfopNovo\www.ufop.br+2015-04-29+21-46-48.har,45,9,12,1,1,68,4818,38984,138069,44920,22748,249539,150164,29096,17493,196753,14968,4678
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo\www.ufop.br+2015-04-29+21-48-43.har,45,9,12,1,1,68,4816,38984,138069,44920,27104,253893,282893,49173,22288,354354,19206,14676
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo\www.ufop.br+2015-04-29+21-50-35.har,45,9,12,1,1,68,4817,38984,138069,44920,22748,249538,133506,25620,9551,168677,11069,8703
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo\www.ufop.br+2015-04-29+21-52-35.har,45,9,12,1,1,68,4816,38984,138069,44920,22748,249537,119568,25738,10107,155413,10989,5529
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo\www.ufop.br+2015-04-29+21-54-34.har,45,9,12,1,1,68,4817,38984,138069,44920,22748,249538,129923,26257,9926,166106,10464,5386
Home,D:\monofinal\src\harRepository\testeHomeUfopNovo\www.ufop.br+2015-04-29+21-56-35.har,46,9,12,1,1,69,4923,38984,138069,44920,22748,249644,119316,25190,9614,154120,10124,5346
